Date,Open,High,Low,Close,Adj Close,Volume
2014-01-02,59.740002,60.160000,59.410000,60.020000,60.020000,1871900
2014-01-03,60.090000,60.509998,59.680000,59.840000,59.840000,2203600
2014-01-06,60.000000,60.119999,59.290001,59.459999,59.459999,1144500
2014-01-07,59.490002,61.330002,59.480000,61.139999,61.139999,1696400
2014-01-08,60.360001,61.290001,60.360001,61.240002,61.240002,1476900
2014-01-09,61.500000,61.930000,60.790001,60.980000,60.980000,2238000
2014-01-10,60.970001,61.500000,60.970001,61.459999,61.459999,1383000
2014-01-13,61.549999,61.799999,60.169998,60.330002,60.330002,1100300
2014-01-14,60.639999,61.529999,60.480000,61.529999,61.529999,803700
2014-01-15,61.709999,62.650002,61.570000,62.610001,62.610001,1194100
2014-01-16,62.810001,62.959999,61.560001,61.619999,61.619999,4449600
2014-01-17,61.500000,61.959999,61.009998,61.889999,61.889999,1265800
2014-01-21,62.599998,62.610001,61.590000,61.959999,61.959999,724200
2014-01-22,61.970001,62.209999,61.540001,62.209999,62.209999,718400
2014-01-23,61.860001,62.480000,61.750000,62.470001,62.470001,829200
2014-01-24,61.939999,61.950001,60.369999,60.369999,60.369999,1106400
2014-01-27,60.400002,60.639999,59.299999,59.380001,59.380001,1816400
2014-01-28,59.340000,60.090000,59.320000,59.599998,59.599998,1736400
2014-01-29,59.169998,59.650002,58.669998,59.009998,59.009998,1032100
2014-01-30,59.450001,59.840000,59.360001,59.439999,59.439999,1031100
2014-01-31,58.830002,59.410000,58.470001,58.750000,58.750000,2604600
2014-02-03,58.400002,58.730000,56.209999,56.279999,56.279999,2719800
2014-02-04,56.340000,56.990002,55.430000,56.099998,56.099998,6082500
2014-02-05,56.369999,56.799999,55.490002,55.520000,55.520000,4026900
2014-02-06,55.419998,56.490002,55.380001,55.419998,55.419998,6766000
2014-02-07,53.009998,53.139999,50.490002,52.680000,52.680000,6534100
2014-02-10,52.680000,53.869999,52.680000,53.869999,53.869999,2460300
2014-02-11,53.650002,54.070000,53.340000,53.959999,53.959999,1940100
2014-02-12,54.080002,54.230000,53.830002,54.080002,54.080002,2310100
2014-02-13,51.410000,54.570000,51.410000,54.419998,54.419998,1190200
2014-02-14,54.419998,54.790001,53.950001,54.520000,54.520000,1721000
2014-02-18,54.450001,55.520000,54.320000,55.509998,55.509998,2045600
2014-02-19,55.310001,55.919998,55.139999,55.240002,55.240002,1697800
2014-02-20,55.299999,55.750000,54.840000,55.700001,55.700001,1374400
2014-02-21,55.820000,55.990002,54.980000,54.990002,54.990002,2410600
2014-02-24,53.900002,55.610001,53.900002,54.720001,54.720001,1089800
2014-02-25,54.869999,55.250000,54.770000,55.040001,55.040001,1933000
2014-02-26,55.240002,55.480000,54.750000,55.029999,55.029999,845600
2014-02-27,54.759998,55.500000,54.529999,55.230000,55.230000,1430100
2014-02-28,55.070000,55.630001,54.700001,55.110001,55.110001,1505400
2014-03-03,54.709999,55.290001,54.660000,55.189999,55.189999,1131600
2014-03-04,55.790001,56.230000,55.650002,56.220001,56.220001,1202100
2014-03-05,56.080002,56.660000,55.779999,56.220001,56.220001,2245800
2014-03-06,56.189999,56.549999,56.049999,56.169998,56.169998,811700
2014-03-07,56.169998,56.410000,55.660000,55.880001,55.880001,777300
2014-03-10,55.830002,55.930000,55.000000,55.150002,55.150002,897100
2014-03-11,55.200001,55.570000,54.529999,54.709999,54.709999,1474200
2014-03-12,54.560001,54.900002,54.380001,54.599998,54.599998,783100
2014-03-13,54.820000,54.970001,54.099998,54.349998,54.349998,1230300
2014-03-14,54.380001,55.200001,54.380001,54.849998,54.849998,1291900
2014-03-17,51.860001,52.000000,48.549999,51.680000,51.680000,10815300
2014-03-18,51.680000,52.730000,51.599998,52.410000,52.410000,2254200
2014-03-19,52.500000,53.220001,52.320000,52.700001,52.700001,1796700
2014-03-20,52.700001,52.830002,52.180000,52.410000,52.410000,1387600
2014-03-21,52.900002,52.959999,52.419998,52.779999,52.779999,2482400
2014-03-24,52.810001,52.900002,51.919998,52.220001,52.220001,882800
2014-03-25,52.360001,52.900002,52.119999,52.490002,52.490002,1148500
2014-03-26,52.650002,53.580002,52.490002,53.259998,53.259998,1664500
2014-03-27,53.310001,53.540001,52.779999,53.320000,53.320000,1385200
2014-03-28,53.360001,53.990002,53.110001,53.490002,53.490002,1450000
2014-03-31,53.599998,54.220001,53.570000,53.910000,53.910000,1316300
2014-04-01,54.080002,54.470001,53.840000,53.950001,53.950001,2517600
2014-04-02,54.360001,54.360001,52.700001,52.830002,52.830002,1748400
2014-04-03,52.990002,53.160000,51.570000,51.590000,51.590000,1646700
2014-04-04,51.970001,52.240002,50.570000,50.730000,50.730000,1985600
2014-04-07,50.740002,51.310001,50.220001,50.459999,50.459999,1846600
2014-04-08,50.540001,51.090000,50.299999,50.680000,50.680000,2808200
2014-04-09,50.900002,51.480000,50.830002,51.250000,51.250000,1448100
2014-04-10,51.250000,51.490002,50.180000,50.180000,50.180000,1697500
2014-04-11,50.080002,50.430000,48.959999,49.029999,49.029999,2414200
2014-04-14,49.430000,49.990002,48.900002,49.180000,49.180000,1211400
2014-04-15,49.180000,49.869999,48.529999,49.730000,49.730000,1644700
2014-04-16,50.000000,50.900002,49.560001,50.580002,50.580002,1632200
2014-04-17,50.259998,50.950001,50.230000,50.660000,50.660000,944600
2014-04-21,50.639999,51.049999,50.279999,50.580002,50.580002,1088300
2014-04-22,50.509998,51.389999,50.509998,50.840000,50.840000,1007500
2014-04-23,50.779999,50.939999,49.799999,50.029999,50.029999,1702700
2014-04-24,50.130001,50.430000,48.990002,49.250000,49.250000,2614800
2014-04-25,48.939999,49.090000,47.110001,47.150002,47.150002,2978900
2014-04-28,47.700001,47.900002,46.450001,47.009998,47.009998,2338600
2014-04-29,47.110001,47.419998,46.869999,47.040001,47.040001,2465800
2014-04-30,46.779999,47.470001,46.450001,47.180000,47.180000,2241000
2014-05-01,47.320000,48.970001,46.919998,47.610001,47.610001,1919900
2014-05-02,47.549999,48.549999,46.950001,48.419998,48.419998,2169900
2014-05-05,48.099998,48.380001,47.669998,48.029999,48.029999,1681600
2014-05-06,47.770000,48.099998,47.500000,47.520000,47.520000,1355600
2014-05-07,47.660000,48.849998,46.540001,47.549999,47.549999,1414100
2014-05-08,47.529999,48.430000,47.259998,47.700001,47.700001,1126700
2014-05-09,47.779999,48.060001,47.259998,47.930000,47.930000,1030700
2014-05-12,48.060001,49.160000,48.000000,48.869999,48.869999,1017800
2014-05-13,48.830002,49.590000,48.730000,49.130001,49.130001,1689000
2014-05-14,49.080002,49.230000,48.730000,48.860001,48.860001,1356600
2014-05-15,48.860001,48.860001,47.770000,48.430000,48.430000,1318500
2014-05-16,48.369999,48.580002,47.840000,48.259998,48.259998,1834000
2014-05-19,48.299999,48.900002,48.099998,48.889999,48.889999,804400
2014-05-20,48.959999,49.099998,48.410000,48.580002,48.580002,895200
2014-05-21,48.759998,49.320000,48.599998,49.189999,49.189999,952600
2014-05-22,49.189999,49.709999,49.180000,49.259998,49.259998,802400
2014-05-23,49.259998,49.959999,49.230000,49.919998,49.919998,883300
2014-05-27,50.000000,50.060001,49.270000,49.919998,49.919998,1645600
2014-05-28,49.919998,50.220001,49.639999,50.009998,50.009998,1054400
2014-05-29,50.240002,50.590000,50.009998,50.340000,50.340000,1306400
2014-05-30,50.209999,50.430000,49.790001,50.080002,50.080002,979100
2014-06-02,50.070000,50.080002,49.639999,49.970001,49.970001,928500
2014-06-03,49.730000,50.529999,49.730000,50.330002,50.330002,1325500
2014-06-04,50.080002,50.299999,49.849998,50.119999,50.119999,851200
2014-06-05,50.270000,50.810001,50.040001,50.680000,50.680000,756500
2014-06-06,50.919998,51.290001,50.790001,51.049999,51.049999,726100
2014-06-09,51.070000,51.349998,50.820000,51.270000,51.270000,901200
2014-06-10,51.070000,51.299999,50.810001,51.110001,51.110001,751800
2014-06-11,50.939999,51.430000,50.730000,51.320000,51.320000,797800
2014-06-12,51.160000,51.320000,50.619999,50.700001,50.700001,1075500
2014-06-13,50.939999,51.349998,50.669998,50.810001,50.810001,619700
2014-06-16,50.689999,51.150002,50.450001,51.099998,51.099998,772300
2014-06-17,51.110001,51.500000,51.000000,51.380001,51.380001,719500
2014-06-18,51.520000,51.630001,51.049999,51.610001,51.610001,1031800
2014-06-19,51.740002,51.930000,51.290001,51.480000,51.480000,907900
2014-06-20,51.410000,51.450001,50.650002,50.779999,50.779999,3925300
2014-06-23,50.869999,51.259998,50.619999,51.240002,51.240002,765900
2014-06-24,51.779999,51.950001,51.009998,51.090000,51.090000,850500
2014-06-25,50.810001,51.080002,50.509998,50.919998,50.919998,630400
2014-06-26,50.930000,51.119999,50.430000,50.730000,50.730000,564500
2014-06-27,49.650002,49.869999,48.349998,48.759998,48.759998,2880900
2014-06-30,48.590000,49.189999,48.369999,48.810001,48.810001,1313500
2014-07-01,48.799999,49.080002,48.570000,48.669998,48.669998,1114500
2014-07-02,48.660000,49.529999,48.500000,49.459999,49.459999,839900
2014-07-03,49.490002,50.380001,49.490002,50.200001,50.200001,495200
2014-07-07,50.310001,50.310001,49.540001,49.610001,49.610001,732300
2014-07-08,49.410000,49.599998,48.910000,49.380001,49.380001,1505400
2014-07-09,49.400002,49.750000,49.270000,49.509998,49.509998,887500
2014-07-10,48.950001,49.790001,48.900002,49.400002,49.400002,968000
2014-07-11,49.340000,49.590000,49.139999,49.259998,49.259998,947100
2014-07-14,49.630001,50.419998,49.630001,50.060001,50.060001,1001500
2014-07-15,50.150002,50.540001,49.840000,49.869999,49.869999,761300
2014-07-16,50.009998,50.180000,49.529999,49.599998,49.599998,750600
2014-07-17,49.360001,49.790001,48.759998,48.910000,48.910000,1113800
2014-07-18,49.090000,49.619999,48.950001,49.419998,49.419998,563900
2014-07-21,49.639999,49.639999,48.820000,49.150002,49.150002,573200
2014-07-22,49.430000,49.990002,49.310001,49.580002,49.580002,1053600
2014-07-23,49.610001,49.779999,48.560001,48.590000,48.590000,1497300
2014-07-24,48.860001,49.970001,48.619999,49.830002,49.830002,2273500
2014-07-25,52.500000,56.330002,51.759998,55.590000,55.590000,6441100
2014-07-28,55.360001,55.369999,53.919998,53.970001,53.970001,2188000
2014-07-29,54.240002,54.529999,53.779999,53.790001,53.790001,1711500
2014-07-30,54.020000,54.480000,53.709999,54.330002,54.330002,1462200
2014-07-31,53.919998,54.720001,53.660000,54.049999,54.049999,1614600
2014-08-01,54.410000,54.500000,52.750000,53.200001,53.200001,1318800
2014-08-04,53.529999,55.599998,53.200001,54.549999,54.549999,2452000
2014-08-05,54.299999,55.110001,53.869999,54.570000,54.570000,1475200
2014-08-06,54.520000,55.310001,54.220001,54.810001,54.810001,1120500
2014-08-07,54.869999,55.000000,54.220001,54.450001,54.450001,1013300
2014-08-08,54.470001,54.880001,54.369999,54.619999,54.619999,745100
2014-08-11,54.889999,55.419998,54.830002,54.860001,54.860001,896900
2014-08-12,54.849998,55.759998,54.740002,55.060001,55.060001,1229800
2014-08-13,55.110001,55.570000,55.009998,55.419998,55.419998,737000
2014-08-14,55.549999,55.939999,55.299999,55.490002,55.490002,837900
2014-08-15,55.740002,56.320000,55.459999,55.740002,55.740002,1146500
2014-08-18,56.200001,56.470001,55.900002,56.009998,56.009998,730800
2014-08-19,56.040001,56.299999,55.660000,55.919998,55.919998,656400
2014-08-20,55.720001,56.459999,55.509998,56.330002,56.330002,500100
2014-08-21,56.020000,57.169998,55.759998,56.470001,56.470001,1092100
2014-08-22,56.669998,56.740002,55.279999,56.299999,56.299999,1370100
2014-08-25,56.520000,56.990002,56.119999,56.599998,56.599998,828700
2014-08-26,56.520000,57.230000,56.290001,57.169998,57.169998,886500
2014-08-27,57.000000,57.310001,56.279999,56.459999,56.459999,642200
2014-08-28,55.939999,56.730000,55.900002,56.470001,56.470001,614800
2014-08-29,56.549999,57.430000,56.549999,57.080002,57.080002,827600
