Date,Open,High,Low,Close,Adj Close,Volume
2014-01-02,91.139999,91.730003,91.010002,91.029999,68.816711,5919600
2014-01-03,91.290001,92.220001,91.260002,91.849998,69.436615,5637600
2014-01-06,91.930000,92.750000,91.870003,92.330002,69.799500,7443500
2014-01-07,93.040001,94.620003,92.989998,94.290001,71.281197,11063300
2014-01-08,94.169998,94.599998,93.879997,94.160004,71.182938,9096700
2014-01-09,94.940002,95.379997,94.089996,94.730003,71.613823,7944700
2014-01-10,94.639999,94.980003,94.139999,94.739998,71.621391,6697400
2014-01-13,94.370003,94.989998,94.059998,94.500000,71.439941,9589200
2014-01-14,94.599998,94.900002,94.320000,94.720001,71.606270,7567300
2014-01-15,94.650002,95.269997,94.510002,94.800003,71.666748,7390700
2014-01-16,94.599998,95.089996,94.230003,94.639999,71.545799,8401100
2014-01-17,94.720001,95.169998,94.379997,95.059998,71.863289,13714400
2014-01-21,94.930000,95.099998,92.620003,94.029999,71.084618,16368400
2014-01-22,93.989998,94.550003,93.540001,94.320000,71.303879,8875500
2014-01-23,93.739998,93.800003,92.410004,92.739998,70.109444,9322300
2014-01-24,92.120003,92.610001,90.610001,90.610001,68.499184,10604200
2014-01-27,90.300003,90.760002,89.849998,89.940002,67.992706,8685200
2014-01-28,90.580002,90.599998,89.790001,90.099998,68.113655,8254400
2014-01-29,89.470001,89.709999,88.529999,88.900002,67.206482,11160100
2014-01-30,89.620003,89.779999,89.010002,89.500000,67.660049,6874900
2014-01-31,89.010002,89.339996,88.150002,88.470001,66.881416,12193800
2014-02-03,88.750000,88.779999,86.610001,86.779999,65.603806,13944600
2014-02-04,86.930000,87.279999,86.089996,86.620003,65.482857,11436400
2014-02-05,86.489998,87.669998,86.480003,87.279999,65.981804,10667300
2014-02-06,87.629997,88.760002,87.550003,88.750000,67.093094,10037900
2014-02-07,88.919998,90.040001,88.610001,90.040001,68.068298,9435100
2014-02-10,90.239998,91.080002,89.800003,91.070000,68.846962,8080200
2014-02-11,91.089996,92.970001,90.949997,92.970001,70.283325,11556300
2014-02-12,92.949997,92.989998,91.949997,92.419998,69.867531,7696100
2014-02-13,92.000000,92.620003,91.709999,92.559998,69.973335,5926000
2014-02-14,92.599998,92.949997,92.029999,92.760002,70.124550,5485100
2014-02-18,92.769997,92.849998,92.089996,92.169998,69.678513,6926500
2014-02-19,92.150002,92.750000,91.570000,91.639999,69.277832,7693400
2014-02-20,91.690002,92.730003,91.309998,92.379997,69.837288,8160100
2014-02-21,91.860001,92.250000,91.449997,91.519997,69.684982,7381500
2014-02-24,91.449997,92.059998,91.099998,91.110001,69.372795,8406700
2014-02-25,91.589996,91.870003,90.660004,91.110001,69.372795,6383400
2014-02-26,91.110001,91.540001,90.769997,91.110001,69.372795,6334100
2014-02-27,91.160004,91.419998,90.750000,91.360001,69.563156,7040300
2014-02-28,91.419998,92.639999,91.059998,92.120003,70.141838,9643700
2014-03-03,91.129997,91.980003,90.830002,91.559998,69.715424,7506700
2014-03-04,92.470001,93.459999,92.250000,93.339996,71.070786,8796300
2014-03-05,93.269997,93.300003,92.379997,92.589996,70.499702,6842500
2014-03-06,93.190002,93.650002,92.820000,92.889999,70.728119,7718300
2014-03-07,93.370003,93.480003,92.690002,93.320000,71.055565,6792000
2014-03-10,93.169998,93.489998,92.790001,93.449997,71.154518,4878200
2014-03-11,93.709999,93.750000,93.089996,93.489998,71.184967,5837200
2014-03-12,92.820000,93.620003,92.650002,93.599998,71.268768,6154900
2014-03-13,93.849998,94.199997,92.980003,93.000000,70.811905,7659400
2014-03-14,92.879997,93.440002,92.459999,92.809998,70.667206,7337800
2014-03-17,93.260002,94.180000,93.180000,93.930000,71.520004,5872600
2014-03-18,93.900002,94.239998,93.480003,93.940002,71.527626,5891900
2014-03-19,93.889999,94.360001,92.919998,93.589996,71.261131,5937600
2014-03-20,93.519997,94.190002,92.959999,94.120003,71.664680,5727400
2014-03-21,94.769997,95.930000,93.879997,95.930000,73.042839,23988800
2014-03-24,95.300003,95.430000,94.540001,95.199997,72.487000,13944100
2014-03-25,95.699997,97.699997,95.699997,97.379997,74.146904,14167300
2014-03-26,97.510002,98.470001,97.050003,97.050003,73.895615,11215100
2014-03-27,97.080002,97.699997,96.260002,97.279999,74.070763,8694600
2014-03-28,97.510002,98.220001,96.959999,97.440002,74.192581,8816000
2014-03-31,98.000000,98.599998,97.610001,98.230003,74.794106,7545700
2014-04-01,98.309998,98.680000,97.370003,97.940002,74.573303,7068500
2014-04-02,98.010002,98.389999,97.370003,98.230003,74.794106,7995600
2014-04-03,97.970001,98.339996,97.529999,98.260002,74.816963,5471200
2014-04-04,98.620003,99.379997,98.320000,98.419998,74.938759,10309700
2014-04-07,98.389999,99.360001,97.830002,97.889999,74.535217,11409200
2014-04-08,98.029999,98.730003,97.500000,98.059998,74.664658,9601800
